Country,Country_Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83227781263571,1.4141179805897934,11.229714823642894,5.357403251263506,13.826319547976325,3.924983821615726,21.39052839310662,14.362441469268148,0.4263547845292095,12.752287088717026,5.600744658081538,2.7245433639485412,1.4513146600975517,2.2603142013045243,2.647003201957858,1.1892281283803356,3.9116034194230025
Angola,AGO,-3.45009868500253,0.9913593020447422,-5.838280733131413,-23.9834174420578,1.339363436479914,15.000000028863369,13.544369755102565,7.274277354603726,4.69114645093552,2.1814897184045776,3.054624234307852,4.205998556195098,13.66568876085617,2.990000000000009,10.950000005946478,15.029999990551318,11.549999997879027,14.0100000086059,11.169999994214635,0.8600000021527876,4.859999998638514,3.470000001356482,8.540000002899873,4.949999997552297,4.819999998627239,0.9399999993847814,-2.5799999964437035,-0.14999999963809785,-1.3163121021316613,-0.6999999978027205
Albania,ALB,-9.575640169934147,-28.002141655909867,-7.187110915000375,9.559411684931504,8.302866596996708,13.32233332168397,9.099999436463605,-10.919984078139109,8.829423758398065,12.890803640776326,6.946216592442539,8.293312631210227,4.536524160356748,5.528637464917878,5.514667910979142,5.526424246954647,5.902659035919243,5.98325951855567,7.500041430201506,3.3542893498746054,3.7069381525531924,2.545406144501044,1.4172427999077968,1.0020175407110798,1.774448852603939,2.2187263751780364,3.3149806838413696,3.802227400406764,4.019359685144394,2.0880633761501457
Andorra,AND,3.7813875857133326,2.5460035237586283,0.9292140401259559,-1.0314843899989512,2.3831822482117957,2.757501613262491,4.649738667547069,9.067672051441349,3.1947933928923646,4.099078921779295,3.528362361223884,8.119357721699487,4.546362213646532,8.694203716124676,8.135676338373514,5.3977959850042225,4.80868869916921,1.5531881410322228,-5.559186368505806,-5.302846543482914,-1.974957999653455,-0.008069753411390934,-4.974443718535028,-3.5475965154934386,2.5044655211451783,1.4341403952271605,3.7096780697898595,0.346071889630295,1.588765490463544,2.015547638483085
United Arab Emirates,ARE,18.327985533640543,0.8600819457782194,3.344944861841199,1.261190951497241,6.896148550526675,6.6878864636294395,5.798404061321591,8.190398640770496,0.29199434868543506,2.9022136446459825,10.852704212598567,1.3990850303263045,2.4334568103615624,8.80054081486432,9.566436637161615,4.855141196309049,9.837319773484893,3.184390173672398,3.1918362761038424,-5.242921906675903,1.6028500482552062,6.928508599322527,4.483791984603229,5.053077855016312,4.410085259848444,5.06033486435939,2.984216091317208,2.3735510570922713,1.1898556416366546,3.411538686345665
Argentina,ARG,-2.467213778104721,9.133110567389608,7.937291556430765,8.206979072212278,5.836200703685265,-2.845209610570791,5.526689827152339,8.111046770745702,3.8501788515622763,-3.385457040632687,-0.7889989390569099,-4.408839682585565,-10.89448482859028,8.83704079576924,9.02957330068152,8.851659920134367,8.047151500430274,9.007650875047574,4.057233103464057,-5.918525076349468,10.125398156100232,6.003951692805785,-1.026420454432099,2.4053237807943617,-2.5126153208139357,2.731159828289435,-2.0803278437781074,2.818502977759181,-2.6173964628203805,-2.025934236639202
Armenia,ARM,0.0,-11.699998482027027,-41.8000027457562,-8.799998793293497,5.40000277917656,6.8999984197365904,5.865400749435651,3.321079700469525,7.299999987709981,3.3000000005816617,5.9000000031209225,9.599999999275965,13.199999997935578,14.000000001550148,10.499999998820186,13.899999999113263,13.199999999466144,13.700000001546698,6.900000000429586,-14.10000000069978,2.2000000002150983,4.699999998674116,7.200000000964863,3.3,3.6000000005899295,3.1999999989662484,0.19999999982599093,7.500000001641439,5.199999999653244,7.599999998539175
Antigua and Barbuda,ATG,3.011714683579015,2.1765786026592764,1.1584751914206066,5.279878708617119,6.676707103242435,-4.359587382392647,6.604459720822973,5.471608482079702,4.731125091637381,3.7076179103931395,6.20343125361191,-4.548003472582792,1.0274419697642259,6.07654368848398,5.7670286118036955,6.473831316419918,12.708148532773706,9.315383163397527,-0.01434065194359846,-11.962697248834289,-7.8405947441217165,-1.958612628343431,3.3728662003186685,-0.6008763967350461,3.795727612942514,3.825293098808274,5.496459203578354,3.144323239705045,6.883640816875001,4.862236165756627
Australia,AUS,3.5735068997854,-0.3950871768444557,0.4137803838157481,4.033567140841484,3.9804736671948007,3.833830589055083,3.854419962835152,3.908290893401059,4.6140115756183775,4.936674928162603,3.912427732711876,2.038300731735305,4.014526653755212,3.1103251090279826,4.205446886862646,3.160338325106153,2.7268934458503793,3.7684875158189044,3.5770148781477644,1.8668320701175958,2.172337091016246,2.469746293817309,3.917362463285045,2.6002118806565306,2.562931520833885,2.17220475337416,2.7416430686472353,2.295926946940625,2.870972480216679,2.1131494246237565
Austria,AUT,4.345641399478211,3.441627776694588,2.0935246170918305,0.5268092037064918,2.4021190737988576,2.6679835308954836,2.3495338516972737,2.0935993895239164,3.581425814604472,3.5563312466416903,3.3757221470847867,1.2671681892299205,1.651553921866693,0.9414709207253367,2.735120222410231,2.2440653246387825,3.454041836141215,3.727415300935192,1.4604236757385962,-3.764578177916775,1.837093676800535,2.92279728368581,0.680445576816723,0.025504712197218282,0.6612728488526045,1.0145015859051085,1.9894371623046254,2.2585724325067105,2.501595118720857,1.4912108495370546
Azerbaijan,AZE,0.0,-0.7000001756995715,-22.60000032644443,-23.099998718838734,-19.700001239923836,-11.799999107681813,1.299999404638271,5.800000147957832,9.999999611536907,7.4000012995856395,11.099999143434601,9.899999865336426,9.438916269065615,10.208299400477642,9.253801797289071,27.961538108213134,34.5,24.99999985156829,10.758978060468365,9.29636374447091,5.048944513495741,0.10000013782457984,2.1652394748415986,5.80980084268208,2.7505068153551804,1.0939759162746867,-3.099999880372664,0.19999993895865487,1.4999999999999858,2.500000067437341
Burundi,BDI,3.4998221361125275,4.996836447921254,1.0099983709962856,-6.24000000139047,-3.829999996198282,-7.920000003747717,-7.999999997940932,-1.5899999968582819,4.7499999950961325,-1.009999996498152,-0.8568640584241507,2.0558071083524254,4.446519412247966,-1.2237279602344415,4.833657768094525,0.9000000009019118,5.413807144914443,3.4519524895262066,4.861712995077497,3.8127469365215205,5.124157795701365,4.032599988444147,4.446706331114953,4.924189898346839,4.240650214026573,-3.9000000804854977,-0.6000009091163889,0.5000012624292793,1.609935421277143,1.812565324015523
Belgium,BEL,3.137402315574448,1.833074277287011,1.5306549438590196,-0.9618733097765926,3.2269715248893505,2.3847572796124865,1.3214509304132491,3.7936576295018796,1.9618082719842675,3.542743463630657,3.7166793842087458,1.0996188877784903,1.7068845845335403,1.0379825490290528,3.571204343358204,2.3217370538192625,2.552349943663515,3.6768811359497278,0.44692873527590393,-2.020743061694077,2.864292707641553,1.694513898613323,0.7392172830586787,0.45924219290770907,1.5785331432261387,2.041459009199613,1.2666864090209486,1.6195802783878008,1.843899686110987,2.111531644123275
Benin,BEN,8.9761343599898,4.225799420716683,2.957710827203954,5.836172085013828,2.0204004476166233,6.045198650415642,4.324284031317859,5.734688375213068,3.9610121383264527,5.341449372044167,5.857714205432686,5.333135706039371,4.643030870744823,3.4435767759165827,4.429684553850819,1.7131645636118407,3.9437388281579757,5.986349321776089,4.896577084296467,2.319292139128379,2.1140647264839174,2.963752919042008,4.811223315687997,7.191433721449457,6.357679097919316,1.7781510603027755,3.339673426296926,5.671555469447526,6.697259460879863,6.865687335501505
Burkina Faso,BFA,-0.6029284775809884,9.069984458774357,0.23271076184595074,3.461384939458185,1.3150072721026476,5.716373862696216,11.014743869558032,6.316834734837684,7.3077196349689615,7.395237801119308,1.8884738890652528,6.61340574539679,4.352963829880991,7.802493888703594,4.478452136703865,8.661873228412247,6.2531646881747776,4.111379017615164,5.799991741053873,2.961950858666924,8.446281577076249,6.622562613066933,6.452672379531464,5.792584845098673,4.326845614529759,3.921228793793503,5.95797670754024,6.203489411218683,6.604569068123411,5.68811514943657
Bangladesh,BGD,5.622258161607036,3.4852278153552447,5.44268555072118,4.711561724494629,3.890126440656246,5.121277897161633,4.522919217623468,4.4898964973563835,5.177026873452519,4.670156368278683,5.293294718460359,5.07728777597309,3.833123940056126,4.7395673991644145,5.23953291045278,6.5359449405232795,6.671904981481887,7.058599356572387,6.013789759233305,5.04512479417707,5.571788188391764,6.464379122777601,6.521458780594386,6.013605658216804,6.061059359039518,6.552639878692503,7.1134782132724155,6.590249997940575,7.319412630141358,7.881915151177225
Bulgaria,BGR,-9.11737709565385,-8.445355196371551,-7.272387966447141,-1.480214854218147,1.8180113341543063,2.8550510027733225,5.2053917423781115,-14.115381060589158,3.7891220665512435,-8.396091161002744,4.587225341648818,3.82370366409026,5.871930277841628,5.237154277681682,6.510426378701979,7.05634752647417,6.802589381603582,6.5913808372961284,6.11601796399745,-3.271854279497603,1.5418014430757836,2.101205750092319,0.7549303859818934,-0.5604939655778196,0.9668690323449596,3.428054913521322,3.039825276307951,2.762170959612618,2.6845761309141096,4.037592082119474
Bahrain,BHR,4.437997176426393,11.229998780012295,6.68999836660538,12.870006669658409,-0.25000148454287796,3.929991545320206,4.110006115121138,3.0929997867320367,4.790002788554986,4.299998960377579,5.300070056008835,2.4909481082984684,3.348550667941197,6.296441978693679,6.980960594298253,6.768997871074831,6.467000121995852,8.293960447596831,6.24501077496258,2.5398859358505206,4.334299172831308,1.9835150115999056,3.7281084304601677,5.416839810120706,4.350390852529685,2.485378557588035,3.558128118977777,4.290949777563384,2.1111304730487177,2.166964668823695
"Bahamas, The",BHS,-1.5962490870756625,-4.181784780900301,-3.8255819695819753,0.3078062914431996,3.148915619978027,4.378752090474691,4.223530425304006,6.875739420083576,-4.503596622302538,12.1975182853608,4.149234045773483,2.625159596001538,2.704670968786033,-1.264526295056129,0.8827401851260817,3.3952600824591457,2.5168539325842687,1.4467338886453405,-2.3235072362492843,-4.1758055558170355,1.5383859718060933,0.6133841584349966,3.0868791768834996,-2.863293944696707,1.8473029396287188,0.9968008463189904,-0.8576643187557522,3.0501573478923376,1.8310077944388041,1.8961637030602674
Bosnia and Herzegovina,BIH,0.0,0.0,0.0,0.0,0.0,20.799997541861217,88.95766618327917,34.38957405168722,15.59999668542315,9.599999716422758,12.765469457888258,2.423313171809923,5.027444207339826,3.867138795134295,6.325266168614661,3.8971779899219285,5.4140035707943355,5.857126342170943,5.44383103450177,-3.00445593013346,0.8656692602370839,0.9595112472412666,-0.8218364742168944,2.3498566632458022,1.1538510920040324,3.08916261889469,3.14980735522596,3.1714349846417207,3.7400729681404243,2.831001402535321
Belarus,BLR,0.0,-1.199995570460274,-9.600001395977074,-7.600001842210858,-11.700003897553586,-10.400000491499412,2.8000046505393357,11.400005405354847,8.399991420319935,3.399999163229623,5.800003440074548,4.725305993875082,5.045267480021849,7.043192558746924,11.449743105396081,9.400001523576876,9.999994812473716,8.600006536248102,10.199999439543632,0.19999531001448645,7.798266822697315,5.37870744981015,1.6871355364284142,1.0034708408564512,1.7263848541700213,-3.829570558283791,-2.5264464355236385,2.532183500230346,3.1491975937496335,1.4000000000000057
Belize,BLZ,11.443388729007651,11.464036421019713,12.058324475794763,6.275780560969821,0.1584215389031698,0.6444869258029513,1.4291124410858345,3.5446533683507653,3.74051417307102,8.778854915329262,13.019577374825928,5.008884743149466,5.121602288984263,9.335873707131185,4.6502364948966886,2.198011323088636,4.557515944322901,1.166518254674969,2.7550391690872402,0.2998115470275877,3.3265009821504776,1.6035045666818064,2.428309945088472,0.8458422682868729,4.465445953927954,2.8949451543593767,-0.17950690552075343,2.128596594245451,2.0447031766566113,1.9649963024263002
Bolivia,BOL,4.635787427851795,5.26652666762763,1.6464981831706922,4.269296116615024,4.667265102667855,4.67827659709971,4.3613419524457555,4.95420874299721,5.029354755430717,0.4268854225888248,2.507810808994833,1.6837991272182506,2.485565737838286,2.711339837006733,4.173295589162478,4.421433126879791,4.797008823560674,4.564384268878868,6.14849787462164,3.3569995743056467,4.126722591056705,5.204092443085997,5.122275580917574,6.7960114281084145,5.460569506351362,4.857187179714131,4.263920863821127,4.195206333603949,4.2236236527184445,2.2167056396103106
