Country,Country_Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,0.19174511499107622,0.16768157884763804,0.09595774214332178,0.08472111043327198,0.07554582738727157,0.06846795550598868,0.06258803431351853,0.05682661775306933,0.05269085616054904,0.04015696514876148,0.03657370417080266,0.03378535985018183,0.04557365917599857,0.05151837652467386,0.041655393950632454,0.06041878060226066,0.06658329091031616,0.06531234618578884,0.12841655932928248,0.17186242140343977,0.2436140362083912,0.2965062403662712,0.25929533423412954,0.18562365991854377,0.14623561705138777,0.1728967411306843,0.1497893337657495,0.13169455564559931,0.1632953004598842,0.15982437203691854
Angola,AGO,0.553661954772739,0.5445386488142895,0.5435572233422117,0.7089842298045039,0.8368044054123324,0.912141485191505,1.0721684648866912,1.0866369742216897,1.0918253079507279,1.1098596566392958,0.9880773825610564,0.9418289054490526,0.8955776716089142,0.9248694369052699,0.9302629484301428,0.8135392909939247,0.8218400764640033,0.8117535078733157,0.8886580087647811,0.9394039834074293,0.9761841976179007,0.9855223119119544,0.9506958794577169,1.0362938519125542,1.099779111076565,1.1350440504156916,1.0318113478889162,0.8133007302031954,0.7776749344120004,0.7921370694576255
Albania,ALB,1.819541633729312,1.2428102204304532,0.6836998262108955,0.6383070362195863,0.6453551885310095,0.6054362528954284,0.6123673585470858,0.46692147238445364,0.572153695185918,0.9553593083841947,1.0262131085289963,1.0554958820955547,1.2323787829155788,1.3389849808861976,1.4040586876709442,1.3382093994788455,1.3399957390416393,1.3939313702533016,1.3843112487186808,1.4414935616785578,1.5276236626049522,1.6694231900552527,1.5032404600310094,1.533630039121541,1.668337370915474,1.6037751498710837,1.5576643584747163,1.7887860742254365,1.7827389475471465,1.6922483196485625
Andorra,AND,7.521831657738314,7.235379239755762,6.963078699772426,6.724177518286483,6.5415789137788,6.733479486376448,6.991594549663627,7.307441151777108,7.639538509510445,7.923191648023863,7.952286282306162,7.721549061534806,7.566239883933459,7.242415569688043,7.34426232634998,7.353780011800269,6.790542773269078,6.531046920220508,6.439303857115096,6.15668747619036,6.157197775434129,5.850886105181532,5.944654173228955,5.9428004119247735,5.807127723285951,6.026181821546895,6.080600282138651,6.1041339118135385,6.362975399137012,6.4812174318824045
United Arab Emirates,ARE,30.19518856815958,31.778496241144893,29.08092583535812,29.27567776507212,30.84933295617939,31.125018063441704,30.928025879822194,30.486332622210178,29.66358051680391,28.887107981749338,27.035159107957806,29.430269940975958,28.5014617313995,27.96926982070087,27.038938217521753,25.382381036591735,22.93510428691635,21.37028576026294,22.011469244985886,19.832348865489262,19.03976975037105,18.509457382704255,19.20780112381785,20.05564756906712,20.051697970241527,21.077641969980448,21.48066860888476,20.76902233240566,18.390678060454995,19.32956328148065
Argentina,ARG,3.0755413283836903,3.2020313067486135,3.21897372210352,3.2457952806325023,3.2529452874717366,3.241341893148098,3.4769532050614225,3.536989954241805,3.678793801513893,3.6885182741387075,3.587392037861076,3.360371185002196,3.1174248288011253,3.3517237133240543,3.6729739964676527,3.753639235074329,3.9424912895241513,4.10262963566713,4.1723885308823,3.8675699672502533,4.09968971416256,4.280989353260098,4.264223782359811,4.342115068537295,4.209095632794291,4.301913876398724,4.201845776161123,4.071308361936643,3.9757719705792867,3.740650290633964
Armenia,ARM,5.6102543579099216,5.902576393289036,3.166009259850936,1.4986124454411407,0.8344337301258594,1.0909602905994966,0.8143391874220578,1.066043297316603,1.11622544665906,1.0067917980459824,1.1597613628108185,1.1800624515272957,1.0283535155054226,1.1597322410201933,1.2530346902199176,1.4960107626055577,1.5177629900129028,1.773161430758944,1.9569303560548625,1.561583601116113,1.5083512444550333,1.7173433801003917,1.9831920274955197,1.8981271696887727,1.8816077373473004,1.8252922441789379,1.726752840256765,1.8235601550939915,1.9344515789654209,2.086060677754665
Antigua and Barbuda,ATG,3.358226856219916,3.472057825544876,4.498983850199352,3.800720616628913,3.720182735375962,3.9317334575955263,3.989968080255358,4.044235569749118,4.370450292956746,4.419208827704422,4.341705369242306,4.532974149095995,4.9809699570217,5.169522467548272,4.978406237450857,5.033021487610432,5.319470442069926,5.474300638406383,5.621003691959201,16.02434762107478,5.566284329623344,6.050420408489322,7.742763149745827,5.136050691814086,5.185713243784317,5.236665308020038,5.289885738468049,5.239717055279015,5.296940139000613,5.354476454991649
Australia,AUS,15.448488435461849,15.31821337653321,15.341526150328665,15.455368766627046,15.691963035564267,16.056883576803894,16.427830265960353,16.62526327158827,17.56293089626423,17.632357603297052,17.723072103586905,17.804563951990932,17.981924703440367,17.721683734544968,18.174726867781928,18.146292012566487,18.14145349211152,18.521097005896024,18.303748020697533,18.22309955166824,17.59006926571525,17.295415836742745,17.022042228085468,16.442315709121864,15.830421521348216,15.86328800425802,15.914657116179027,15.81831632494897,15.493529252105258,15.23826715041474
Austria,AUT,7.589364210032756,8.049113778646277,7.353926794120277,7.311242502656017,7.343640807760167,7.697264740865883,8.154273322949305,8.05969748398634,8.107272236986587,7.888819322139593,7.929785512595166,8.44410916140459,8.58331747454014,9.168343907769943,9.275614099686392,9.266113559697159,8.961569195484614,8.587801760616284,8.499674019783654,7.721143981713917,8.365014901166164,8.135474381246485,7.723614486700116,7.753699576040679,7.260404228078084,7.317158873456868,7.2888199832219565,7.486161582686803,7.13306391934265,7.293984252455698
